date_releve,periode_debut,periode_fin,source,propriete,metrique,valeur,note
2026-08-14,2026-08-14,2026-08-14,PageSpeed,https://claudeagency.fr/,lcp_mobile,2.7,mesure reelle 2026-08-19T09:34:23Z via API PageSpeed Insights (cle fournie); lab data Lighthouse 13.4.1; score perf mobile 0.96
2026-08-12,2026-05-14,2026-08-09,GSC,sc-domain:claudeagency.fr,clics,49,data_state=final
2026-08-12,2026-05-14,2026-08-09,GSC,sc-domain:claudeagency.fr,impressions,2797,data_state=final
2026-08-12,2026-05-14,2026-08-09,GSC,sc-domain:claudeagency.fr,ctr_pct,1.75,recalcule clics/impressions
2026-08-12,2026-05-14,2026-08-09,GSC,sc-domain:claudeagency.fr,position_moyenne,33.3,ponderee par impressions
2026-08-12,2026-05-14,2026-08-09,GSC,sc-domain:claudeagency.fr,urls_avec_impressions,73,dont 15 doublons www/non-www
2026-08-12,,,Ubersuggest,claudeagency.fr (FR),autorite_domaine,1,sur 100
2026-08-12,,,Ubersuggest,claudeagency.fr (FR),backlinks,0,
2026-08-12,,,Ubersuggest,claudeagency.fr (FR),domaines_referents,0,
2026-08-12,,,Ubersuggest,claudeagency.fr (FR),mots_cles_organiques,3,estimation Ubersuggest
2026-07-15,2026-06-23,2026-07-13,GSC,https://claudeagency.fr/,clics,17,releve consigne dans docs/CONTEXTE-COWORK.md
2026-07-15,2026-06-23,2026-07-13,GSC,https://claudeagency.fr/,impressions,408,releve consigne dans docs/CONTEXTE-COWORK.md
2026-07-15,2026-06-23,2026-07-13,GSC,https://claudeagency.fr/,ctr_pct,4.2,releve consigne dans docs/CONTEXTE-COWORK.md
2026-07-15,2026-06-23,2026-07-13,GSC,https://claudeagency.fr/,position_moyenne,19.3,releve consigne dans docs/CONTEXTE-COWORK.md
2026-07-15,,,GSC,https://claudeagency.fr/,pages_indexees,65,39 non indexees dont 21 tags noindex volontaires
2026-06-19,,,GSC,https://claudeagency.fr/,pages_indexees,41,crawl du 2026-06-18 consigne dans SEO-STRATEGY.md
2026-06-19,,,GSC,https://claudeagency.fr/,impressions,13,ordre de grandeur consigne dans SEO-STRATEGY.md
2026-08-22,2026-08-10,2026-08-19,GSC,sc-domain:claudeagency.fr,clics,8,fenetre 10j comparable a 31/07-09/08 (9 clics)
2026-08-22,2026-08-10,2026-08-19,GSC,sc-domain:claudeagency.fr,impressions,769,fenetre 10j comparable a 31/07-09/08 (905 impressions)
2026-08-22,2026-08-10,2026-08-19,GSC,sc-domain:claudeagency.fr,ctr_pct,1.04,recalcule clics/impressions
2026-08-22,2026-05-14,2026-08-19,GSC,sc-domain:claudeagency.fr,clics,58,cumul depuis lancement, vs 49 au 09/08
2026-08-22,2026-05-14,2026-08-19,GSC,sc-domain:claudeagency.fr,impressions,3755,cumul depuis lancement, vs 2797 au 09/08
2026-08-22,2026-05-14,2026-08-19,GSC,sc-domain:claudeagency.fr,ctr_pct,1.54,recalcule clics/impressions
2026-08-24,2026-08-12,2026-08-21,GSC,sc-domain:claudeagency.fr,clics,10,fenetre 10j comparable a 02/08-11/08 (7 clics)
2026-08-24,2026-08-12,2026-08-21,GSC,sc-domain:claudeagency.fr,impressions,582,fenetre 10j comparable a 02/08-11/08 (1010 impressions)
2026-08-24,2026-08-12,2026-08-21,GSC,sc-domain:claudeagency.fr,ctr_pct,1.72,recalcule clics/impressions
2026-08-24,2026-05-14,2026-08-21,GSC,sc-domain:claudeagency.fr,clics,59,cumul depuis lancement vs 58 au 19/08
2026-08-24,2026-05-14,2026-08-21,GSC,sc-domain:claudeagency.fr,impressions,3683,cumul depuis lancement vs 3755 au 19/08 (revision GSC voir JOURNAL 67)
2026-08-24,2026-05-14,2026-08-21,GSC,sc-domain:claudeagency.fr,ctr_pct,1.60,recalcule clics/impressions
2026-08-27,,,Ahrefs,claudeagency.fr (FR),domaines_referents,8,releve manuel SOLOHERY (ahrefs.com backlink checker) - remplace le inconnu Ubersuggest du meme jour (outil inaccessible); dont 2 spam/ferme de liens et 6 reels (dont 1 domaine propre claudepartners.fr) - detail JOURNAL entree 77
2026-08-27,,,Ahrefs,claudeagency.fr (FR),backlinks,11,releve manuel SOLOHERY (ahrefs.com backlink checker) - 82% dofollow - remplace le inconnu Ubersuggest du meme jour
2026-08-27,,,Ahrefs,claudeagency.fr (FR),autorite_domaine,2.1,Domain Rating Ahrefs (pas la meme echelle que Ubersuggest 0-100) - releve manuel SOLOHERY - remplace le inconnu Ubersuggest du meme jour
