domaine,url_contribution,type,condition_acces,source,date_releve
digiformag.com,https://www.digiformag.com/en/join-digiformag/,article invité,"Candidature contributeur avec bio auteur, article invité sur la formation professionnelle",https://www.digiformag.com/en/join-digiformag/,2026-08-16
francenum.gouv.fr,https://www.francenum.gouv.fr/experts-du-numerique/experts-du-numerique-rejoignez-le-reseau-des-activateurs-france-num,annuaire,"Inscription publique au réseau des Activateurs France Num, délai de traitement 3 à 4 semaines",https://www.francenum.gouv.fr/experts-du-numerique/experts-du-numerique-rejoignez-le-reseau-des-activateurs-france-num,2026-08-16
innovation-pedagogique.fr,https://www.innovation-pedagogique.fr/article35.html,communauté,"Inscription nominative sur le site contributif, publication soumise à modération",https://www.innovation-pedagogique.fr/article35.html,2026-08-16
sydo.fr,https://sydo.fr/sydologie/contact/,article invité,"Proposer un article invité avec références citées à l'appui",https://sydo.fr/sydologie/contact/,2026-08-16
ludomag.com,https://www.ludomag.com/contacter-la-redaction/,article invité,"Proposer un article ou un reportage à la rédaction",https://www.ludomag.com/contacter-la-redaction/,2026-08-16
cahiers-pedagogiques.com,https://www.cahiers-pedagogiques.com/categories/proposer-un-article/,article invité,"Article préparé conjointement avec un coordinateur de la revue",https://www.cahiers-pedagogiques.com/categories/proposer-un-article/,2026-08-16
e-learning-letter.com,mailto:actu@e-learning-letter.com,tribune,"Envoyer une actualité ou une prise de position par e-mail, cible décideurs formation-RH",mailto:actu@e-learning-letter.com,2026-08-16
agoravox.fr,https://www.agoravox.fr/spip.php?page=inscription,communauté,"Créer un compte rédacteur avec un champ site internet renseignable au profil",https://www.agoravox.fr/spip.php?page=inscription,2026-08-16
zoneia.fr,https://zoneia.fr/soumettre,répertoire,"Soumettre un outil IA au répertoire, validation sous 24 à 72 h, lien dofollow constaté",https://zoneia.fr/soumettre,2026-08-16
podcast.ausha.co,https://podcast.ausha.co/retour-sur-les-attentes,réciprocité,"Proposer un sujet aux animateurs du podcast",https://podcast.ausha.co/retour-sur-les-attentes,2026-08-16
lepodcastdelaformation.fr,https://lepodcastdelaformation.fr/contact/,réciprocité,"Utiliser le bouton Participer au Podcast pour proposer une intervention",https://lepodcastdelaformation.fr/contact/,2026-08-16
journaldunet.com,https://www.journaldunet.com/contacts/,tribune,"Proposer une chronique d'expert dans la rubrique Management & e-RH, distincte des partenariats",https://www.journaldunet.com/contacts/,2026-08-16
actuia.com,https://www.actuia.com/publier/,tribune,"Soumettre une tribune ou analyse via le formulaire dédié, publication gratuite si retenue par le comité éditorial",https://www.actuia.com/publier/,2026-08-25
culture-rh.com,https://culture-rh.com/devenir-auteur/,tribune,"Candidature par formulaire de contact ou e-mail, ouvert aux experts RH souhaitant intervenir sur le site",https://culture-rh.com/devenir-auteur/,2026-08-25
myrhline.com,https://myrhline.com/devenir-auteur-rh/,article invité,"Candidature libre via formulaire, ouverte aux indépendants et fondateurs de start-up RH, étudiée au cas par cas",https://myrhline.com/devenir-auteur-rh/,2026-08-25
cadre-dirigeant-magazine.com,https://www.cadre-dirigeant-magazine.com/?page_id=29885,tribune,"Envoyer un projet de tribune de 800-1000 mots sans lien marchand ni rémunération, en échange d'une fiche biographique",https://www.cadre-dirigeant-magazine.com/contactez-la-redaction/,2026-08-25
economiematin.fr,https://www.economiematin.fr/contact,tribune,"Envoyer sa proposition de tribune ou avis d'expert via la page Contact, rubrique Les Experts",https://www.economiematin.fr/contact,2026-08-25
wydden.com,https://wydden.com/devenir-contributeur/,article invité,"Soumission gratuite via formulaire, article de 500 à 700 mots sans publicité ni communiqué de presse (suite éditoriale de 1001startups)",https://wydden.com/devenir-contributeur/,2026-08-25
lecoindesentrepreneurs.fr,https://www.lecoindesentrepreneurs.fr/nous-contacter/,tribune,"Formulaire de contact avec option Devenir auteur sur le site, aucune contrepartie financière mentionnée",https://www.lecoindesentrepreneurs.fr/nous-contacter/,2026-08-25
maddyness.com,https://forms.maddyness.com/tribune,tribune,"Formulaire gratuit (contribution de 100€ facultative), tribune de 600-900 mots réservée à l'entrepreneuriat français",https://forms.maddyness.com/tribune,2026-08-25
frenchweb.fr,https://www.frenchweb.fr/les-experts,tribune,"Envoyer une proposition de sujet à redaction@frenchweb.fr pour rejoindre la communauté d'Experts FrenchWeb",https://www.frenchweb.fr/les-experts,2026-08-25
lemondeinformatique.fr,https://www.lemondeinformatique.fr/actualites/chroniques-2.html,tribune,"Créer un compte lecteur gratuit et soumettre sa chronique, la rédaction ne retient que les meilleures contributions",https://www.lemondeinformatique.fr/actualites/chroniques-2.html,2026-08-26
institutsapiens.fr,https://www.institutsapiens.fr/sapiens-vous/,tribune,"Envoyer sa proposition à contact@institutsapiens.fr, examinée gratuitement par le comité scientifique",https://www.institutsapiens.fr/sapiens-vous/,2026-08-26
comarketing-news.fr,https://comarketing-news.fr/contact/,article invité,"Contacter contact@comarketing-news.fr pour proposer un article, aucune contrepartie financière mentionnée",https://comarketing-news.fr/contact/,2026-08-26
alliancy.fr,https://alliancy.fr/pages/contact,tribune,"Contacter redaction@alliancy.fr pour proposer une tribune, canal distinct du contact commercial payant",https://alliancy.fr/pages/contact,2026-08-26
itespresso.fr,https://www.itespresso.fr/avis-expert-information,tribune,"Rubrique Avis d'experts gratuite et ouverte, texte de 2000-4500 caractères non promotionnel soumis à validation",https://www.itespresso.fr/avis-expert-information,2026-08-26
