"Campaign","Campaign Type","Campaign Daily Budget","Bid Strategy Type","Networks","Languages","Location","Campaign Status","Ad Group","Default Max. CPC","Ad Group Status","Criterion Type","Keyword","Match Type","Ad Type","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Headline 11","Headline 12","Description 1","Description 2","Description 3","Description 4","Final URL","Path 1","Path 2","Status"
"Claude Partners - OF | Search","Réseau de Recherche","30.00","Maximiser les clics","Recherche Google","Français","France","Activé","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","Creer un OF","6.00","Activé","","","","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","Creer un OF","","","Mot clé","creer organisme de formation","Expression","","","","","","","","","","","","","","","","","","","","","Activé"
"Claude Partners - OF | Search","","","","","","","","Creer un OF","","","Mot clé","creer son organisme de formation","Expression","","","","","","","","","","","","","","","","","","","","","Activé"
"Claude Partners - OF | Search","","","","","","","","Creer un OF","","","Mot clé","ouvrir un organisme de formation","Expression","","","","","","","","","","","","","","","","","","","","","Activé"
"Claude Partners - OF | Search","","","","","","","","Creer un OF","","","Mot clé","lancer son organisme de formation","Expression","","","","","","","","","","","","","","","","","","","","","Activé"
"Claude Partners - OF | Search","","","","","","","","Creer un OF","","","Mot clé","monter un organisme de formation","Expression","","","","","","","","","","","","","","","","","","","","","Activé"
"Claude Partners - OF | Search","","","","","","","","Creer un OF","","","","","","Annonce responsive sur le Réseau de Recherche","Lancez votre OF avec nous","Spécialistes des OF","Marketing & admin de votre OF","3-4x moins cher qu'une agence","Audit offert, sans engagement","Une équipe IA pour votre OF","4 experts, un prix imbattable","On exécute, vous validez","Gagnez des heures/semaine","Expert organismes de formation","Votre OF, lancé plus vite","SEO, pub, site & admin OF","Une équipe de 4 experts prend en charge le marketing et l'admin de votre organisme.","SEO, pub, site, admin Qualiopi : on s'occupe de tout, 3 à 4x moins cher qu'une agence.","Audit offert et sans engagement : repartez avec une feuille de route chiffrée.","Spécialistes des organismes de formation. On connaît Qualiopi, financement, pédagogie.","https://claudepartners.fr/","organisme","formation","Activé"
"Claude Partners - OF | Search","","","","","","","","Marketing & SEO OF","6.00","Activé","","","","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","Marketing & SEO OF","","","Mot clé","referencement organisme de formation","Expression","","","","","","","","","","","","","","","","","","","","","Activé"
"Claude Partners - OF | Search","","","","","","","","Marketing & SEO OF","","","Mot clé","seo organisme de formation","Expression","","","","","","","","","","","","","","","","","","","","","Activé"
"Claude Partners - OF | Search","","","","","","","","Marketing & SEO OF","","","Mot clé","marketing organisme de formation","Expression","","","","","","","","","","","","","","","","","","","","","Activé"
"Claude Partners - OF | Search","","","","","","","","Marketing & SEO OF","","","Mot clé","communication organisme de formation","Expression","","","","","","","","","","","","","","","","","","","","","Activé"
"Claude Partners - OF | Search","","","","","","","","Marketing & SEO OF","","","Mot clé","agence seo formation","Expression","","","","","","","","","","","","","","","","","","","","","Activé"
